year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,1,1.0,4233.0,11.18416667,12.96874232
2002,2,1.0,4233.0,11.18416667,12.96874232
2003,2,1.0,12733.0,11.34672252,14.21634208
2004,3,1.0,12210.66667,12.036246400000001,14.78975685
2005,5,1.0,12432.0,12.67058419,14.57117779
2006,5,1.0,11327.6,13.50088934,14.53001522
2007,8,0.625,11085.875,13.07440626,15.02205607
2008,6,0.5,7311.5,12.48660941,14.26529262
2009,4,0.5,6702.5,13.19004928,14.26529262
2010,7,0.5714285714285714,7676.714286,14.31292854,14.85067981
2011,12,0.5833333333333334,11419.08333,13.68943363,15.27222602
2012,15,0.6666666666666666,12475.46667,13.92716934,15.23994219
2013,19,0.5263157894736842,12610.94737,13.32310299,15.510230599999998
2014,22,0.5,12287.54545,13.20202801,15.75962574
2015,23,0.43478260869565216,11952.04348,13.25963037,15.89813856
2016,23,0.391304347826087,11950.26087,13.35135301,15.98948347
2017,21,0.38095238095238093,11730.2381,13.31121616,15.98341929
2018,22,0.45454545454545453,14805.27273,13.37401876,15.34066461
2019,19,0.42105263157894735,11730.15789,13.11103674,15.15824325
