year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,18.0,34547.0,12.67920658,15.06678064,True,entertainment;newsandmedia;searchenginesandportals
2003,1,18.0,37901.0,12.66671119,15.24766489,True,entertainment;newsandmedia;searchenginesandportals
2004,1,18.0,36507.0,13.38223688,15.6451,True,entertainment;newsandmedia;searchenginesandportals
2005,1,18.0,37609.0,12.54444403,15.73171695,True,entertainment;newsandmedia;searchenginesandportals
2006,2,18.0,34446.5,12.80657522,16.50622378,True,entertainment;newsandmedia;searchenginesandportals
2007,1,18.0,34563.0,12.77458498,15.47004243,True,entertainment;newsandmedia;searchenginesandportals
2009,1,17.0,32152.0,13.62825069,16.36328637,True,entertainment;newsandmedia;searchenginesandportals
2010,2,17.0,32523.5,13.628909885,16.444981975,True,entertainment;newsandmedia;searchenginesandportals
2011,2,13.0,31281.0,13.896633075,17.08348895,True,entertainment;newsandmedia;searchenginesandportals
2012,2,14.0,32327.5,13.60003337,16.926693085,True,entertainment;newsandmedia;searchenginesandportals
2013,2,14.0,32975.0,13.608890225,16.906954000000002,True,entertainment;newsandmedia;searchenginesandportals
2014,2,12.5,33527.0,13.559835750000001,16.887214915,True,entertainment;newsandmedia;searchenginesandportals
2015,2,12.0,31730.0,13.58172633,16.80791676,True,entertainment;newsandmedia;searchenginesandportals
2016,2,12.0,31730.0,13.58172633,16.80791676,True,entertainment;newsandmedia;searchenginesandportals
2017,2,12.0,31730.0,13.58172633,16.80791676,True,entertainment;newsandmedia;searchenginesandportals
2018,2,12.0,32608.0,13.655229915,16.56721497,True,entertainment;newsandmedia;searchenginesandportals
2019,2,12.0,32604.0,13.61332969,16.546946275,True,entertainment;newsandmedia;searchenginesandportals
