year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,2,0.0,3476.0,12.44897767,
2005,2,0.0,3476.0,12.44897767,
2006,2,0.0,3457.0,12.44897767,
2007,3,0.0,3316.666667,12.44618052,
2008,6,0.3333333333333333,4556.333333,12.79253388,15.13752101
2009,3,0.0,6028.666667,12.43929883,14.766262300000003
2010,5,0.2,8216.0,13.04836063,14.897979000000001
2011,6,0.3333333333333333,8035.5,12.69196753,14.71819491
2012,4,0.25,9677.5,12.30692142,14.49939495
2013,3,0.0,11114.0,11.79776927,14.20533469
2014,5,0.2,12675.8,12.84930326,14.47456612
2015,6,0.3333333333333333,13075.33333,13.23914635,14.69700332
2016,5,0.4,15908.8,13.16113722,14.5514122
2017,4,0.5,21820.0,13.83548232,15.14725577
2018,4,1.0,32103.25,13.32164793,14.17255161
2019,4,1.0,30322.75,13.79667924,14.35994343
