year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2002,2,0.0,6656.5,10.51663936,13.60996396
2003,2,0.0,7403.0,10.42507787,12.74508487
2004,2,0.0,7403.0,10.42507787,12.74508487
2005,2,0.0,7403.0,10.42507787,12.74508487
2006,2,0.0,7249.0,12.21326498,15.06678064
2008,2,0.0,9592.0,11.96705453,15.06678064
2009,2,0.0,13733.0,12.02660395,15.37956437
2010,3,0.3333333333333333,17222.33333,12.667919900000001,15.29988716
2011,3,0.3333333333333333,17331.66667,12.70139109,15.34662596
2012,6,0.6666666666666666,17552.83333,13.70229298,15.22865894
2013,4,0.75,17631.0,13.93832238,15.64080607
2014,4,0.75,15715.25,14.08469985,15.93483745
2015,6,0.6666666666666666,15718.833330000001,13.97278606,15.94453994
2016,4,0.5,15824.5,13.77344706,15.69848475
2017,6,0.6666666666666666,19826.33333,13.77231509,16.21183732
2018,6,0.6666666666666666,24387.0,13.98983843,16.67832146
2019,6,0.6666666666666666,24386.66667,13.98992719,16.67832146
