year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,2,0.0,3854.0,10.73363405,12.91330727
0.0,1,0.0,3908.0,10.96585784,12.96874232
0.0,1,0.0,4633.0,11.73744267,13.45427322
0.0,1,0.0,4738.0,11.73744267,13.45427322
0.0,2,0.0,5069.5,11.85021621,13.73630645
0.0,2,0.0,5159.0,11.93300628,13.99330682
0.0,2,0.0,5199.0,12.17866452,14.01833969
0.0,2,0.0,5199.0,12.1827957,14.01833969
0.0,4,0.0,6679.0,13.68670558,15.56630859
0.0,5,0.0,6117.2,14.00514447,16.18396141
0.0,4,0.0,7203.0,14.25188632,16.90227739
0.0,3,0.0,9024.666667,15.41579566,17.86639753
0.0,4,0.0,10307.5,15.37209666,17.73105249
0.0,2,0.0,10303.5,15.36840916,17.73105249
