year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2008,2,1.0,13935.0,13.46611989,15.86053751
2009,1,1.0,13935.0,13.46611989,15.86053751
2011,1,1.0,14331.0,13.40601023,15.94569857
2012,2,1.0,14331.0,13.40601023,15.94569857
2013,3,0.6666666666666666,10610.66667,13.11320222,15.94569857
2014,3,0.3333333333333333,6890.333333,12.82039421,15.94569857
2015,4,0.5,8750.5,12.96679822,15.94569857
2016,3,0.3333333333333333,6890.333333,12.82039421,15.94569857
2017,2,1.0,14331.0,13.40601023,15.94569857
2018,2,1.0,14331.0,13.40601023,15.94569857
2019,1,1.0,14331.0,13.40601023,15.94569857
