Categories,year,total,flesch_kincaid_Mean,flesch_kincaid_Min,flesch_kincaid_Max,smog_Mean,smog_Min,smog_Max,length_Mean,length_Min,length_Max,ChildCount
,2000,6,12.49460472,10.7440069,13.77003252,,,,3328.5,1141,4708,0
,2001,13,12.7457705,11.15027466,14.29023166,14.51264248,13.34837121,15.98806761,6440.615385,1141,22871,3
,2002,26,12.42668773,10.20503203,15.87084498,14.69164225,13.0238668,17.19993928,5330.807692,1141,13701,6
,2003,60,12.33013091,8.603672525,16.43280597,14.86800339,11.85546408,18.27955013,6797.683333,700,32769,15
,2004,93,12.58905261,8.90468178,17.36906276,15.37585888,11.85546408,18.27955013,6506.956989,700,32769,37
,2005,63,12.82061568,9.188385193,15.68629272,15.3528111,13.50681897,17.23854248,6922.873016,542,42548,22
,2006,141,12.87357766,6.384386447,16.65274736,15.12969988,12.5161,18.24360595,6872.70922,502,42568,58
,2007,337,13.1248225,6.384386447,17.85910686,15.32200363,11.72989834,18.59929004,7323.195846,477,42568,157
,2008,677,13.11800644,6.384386447,18.09049832,15.47669675,11.72989834,19.04980404,7043.763663,447,33807,315
,2009,1126,13.09797293,6.384386447,20.17887224,15.29182431,9.642632912,19.04980404,6481.472469,496,39945,480
,2010,1913,13.01349,6.384386447,20.25191281,15.35835331,9.642632912,19.8171,6194.94093,496,33807,750
,2011,3105,12.85722761,6.384386447,20.7094682,15.37418605,9.888512548,19.75178468,6892.284058,493,49344,998
,2012,2681,12.90910993,6.312373052,24.19715116,15.29979449,10.50422373,21.64051364,6628.239463,482,57881,843
,2013,2424,13.04945283,6.643684564,26.33425778,15.33574194,8.648137235,19.75178468,6602.811056,307,51471,809
,2014,2392,12.95221881,6.643684564,26.33425778,15.19693579,6.079149491,21.69918705,6507.408445,288,53214,645
,2015,2193,13.23287785,6.643684564,27.12233666,15.50794836,9.558583805,19.75178468,6288.28591,288,70656,634
,2016,2476,13.03948454,7.521580033,27.12233666,15.42029699,10.4301,19.75178468,6256.199515,482,129997,427
,2017,1221,13.09278774,8.169294806,17.42453704,15.1420138,10.4301,19.4546323,5842.017199,828,163767,180
,2018,540,13.22032222,5.615038504,17.09447669,15.46721088,11.20814326,18.98132757,10621.63333,1707,63676,179
,2019,232,13.63982059,8.614981761,17.07746741,15.35584778,10.72225461,19.08393206,11723.72845,625,74094,111
adult,1998,1,14.1305291,14.1305291,14.1305291,,,,3620,3620,3620,0
adult,1999,1,11.16741313,11.16741313,11.16741313,,,,1778,1778,1778,0
adult,2000,15,12.03287816,9.911920904,15.18106044,13.89396937,11.20814326,16.23940671,3849.533333,855,10130,2
adult,2001,20,11.32016548,8.187044052,13.11138889,14.14280469,12.5738667,14.69652958,3771.8,855,10129,3
adult,2002,27,11.74104029,9.224156618,14.73041584,14.38599031,11.85546408,17.61891908,5039.814815,855,13704,7
adult,2003,62,12.17553623,6.60042735,15.64389587,14.49624985,11.34169021,17.61891908,3914.096774,521,13724,18
adult,2004,163,12.72573623,5.169090909,20.05862355,15.0460768,11.85546408,18.35118386,3960.822086,320,22635,45
adult,2005,249,13.21673024,6.252517761,20.05862355,15.59603648,12.34062658,18.42248207,4426.096386,498,22635,57
adult,2006,321,13.2773336,6.252517761,17.91961853,15.79720711,11.20814326,18.98132757,4494.084112,336,29400,90
adult,2007,482,13.17960149,6.252517761,17.95262081,15.5321348,11.79290869,18.87805463,4543.983402,356,34560,115
adult,2008,692,13.5439809,7.22,18.3404216,15.76073348,11.79290869,19.42128082,5689.549133,356,34579,192
adult,2009,712,13.5890171,5.672547116,19.42908983,15.55645982,8.648137235,19.42128082,5586.991573,185,34344,195
adult,2010,1032,13.70586637,5.672547116,19.42908983,15.6243826,8.648137235,19.38786093,6399.863372,185,34485,314
adult,2011,1368,13.54408099,5.672547116,19.42908983,15.60757739,8.648137235,19.38786093,6747.924708,185,34497,431
adult,2012,1730,13.78623483,5.672547116,18.79549268,15.69482644,8.648137235,19.38786093,6898.486705,185,34497,481
adult,2013,2046,13.91295532,5.672547116,18.79549268,15.72738909,8.648137235,19.71903059,7007.881232,185,48054,655
adult,2014,2078,13.97489773,5.672547116,18.77548353,15.82695161,8.648137235,19.71903059,7025.497594,185,48054,727
adult,2015,2244,13.94322919,5.672547116,22.71614286,15.77280354,8.648137235,19.71903059,7366.893048,185,48060,839
adult,2016,2318,13.7935462,5.672547116,22.51622222,15.67348948,8.648137235,19.71903059,8482.159189,185,51000,900
adult,2017,2330,13.55823373,5.672547116,22.51622222,15.63622118,8.648137235,21.69918705,10129.23262,502,210553,905
adult,2018,1673,13.41199078,7.22,18.56811463,15.61610945,10.65027996,19.71903059,12166.47938,185,109201,677
adult,2019,1682,13.36284648,5.672547116,18.10629355,15.64753387,8.648137235,18.8434795,13974.48633,185,109764,671
adult;advertising;business,2017,1,14.45407343,14.45407343,14.45407343,18.35118386,18.35118386,18.35118386,42130,42130,42130,1
adult;advertising;business,2018,2,14.91456771,14.45407343,15.37506199,18.02249311,17.69380237,18.35118386,38061,33992,42130,2
adult;advertising;business,2019,1,15.36642337,15.36642337,15.36642337,17.65640897,17.65640897,17.65640897,33985,33985,33985,1
adult;blogsandpersonal,2007,1,13.34924091,13.34924091,13.34924091,14.83674596,14.83674596,14.83674596,15632,15632,15632,1
adult;blogsandpersonal,2011,1,10.62006743,10.62006743,10.62006743,12.74508487,12.74508487,12.74508487,8506,8506,8506,0
adult;blogsandpersonal,2012,2,10.62006743,10.62006743,10.62006743,12.74508487,12.74508487,12.74508487,8506,8506,8506,0
adult;blogsandpersonal,2013,3,12.38692388,10.71503215,15.73070733,13.61591474,12.91330727,15.02112968,12767.33333,8481,21340,0
adult;blogsandpersonal,2014,4,12.16166252,10.71503215,13.6082929,14.05800258,12.91330727,15.20269789,17231,8481,25981,0
adult;blogsandpersonal,2015,2,11.2603407,11.2603407,11.2603407,14.31402892,14.31402892,14.31402892,12433,12433,12433,0
adult;blogsandpersonal,2016,4,11.98233608,11.2603407,13.62288477,14.3651233,13.76565471,15.06678064,13852,4368,26174,0
adult;blogsandpersonal,2017,4,12.80969777,11.78577816,13.83361737,14.70537735,13.76565471,15.6451,15636,4368,26904,0
adult;blogsandpersonal,2018,7,11.38176925,11.22016568,11.78577816,13.76565471,13.76565471,13.76565471,2197.285714,1329,4368,0
adult;blogsandpersonal,2019,4,11.22016568,11.22016568,11.22016568,,,,1329,1329,1329,0
adult;blogsandpersonal;entertainment,2009,2,14.04019806,12.86039612,15.22,,,,1603,1073,2133,0
adult;blogsandpersonal;entertainment,2010,4,13.36145036,12.50500917,15.22,,,,1870.5,1073,2143,0
adult;blogsandpersonal;entertainment,2011,3,13.41000612,12.50500917,15.22,,,,1786.333333,1073,2143,0
adult;blogsandpersonal;entertainment,2012,3,13.41000612,12.50500917,15.22,,,,1786.333333,1073,2143,0
adult;blogsandpersonal;entertainment,2013,3,12.38388577,12.14163895,12.50500917,,,,2284,2143,2566,0
adult;blogsandpersonal;entertainment,2014,3,12.26276236,12.14163895,12.50500917,,,,2425,2143,2566,0
adult;blogsandpersonal;entertainment,2015,4,13.77166203,12.14163895,15.22,,,,1713.75,1073,2566,0
adult;blogsandpersonal;entertainment,2016,1,15.22,15.22,15.22,,,,1073,1073,1073,0
adult;blogsandpersonal;entertainment,2017,3,15.45472636,15.22,15.92417908,18.20757608,18.20757608,18.20757608,3370.666667,1073,7966,0
adult;blogsandpersonal;entertainment,2018,3,15.45472636,15.22,15.92417908,18.20757608,18.20757608,18.20757608,3370.666667,1073,7966,0
adult;blogsandpersonal;entertainment,2019,1,15.22,15.22,15.22,,,,1073,1073,1073,0
adult;business,2001,3,13.34431201,12.31233667,15.14999047,14.45898005,14.45898005,14.45898005,4494,2143,8576,0
adult;business,2002,8,13.2454093,10.80268116,15.14999047,14.45898005,14.45898005,14.45898005,3777.75,1075,8576,0
adult;business,2003,11,12.69873113,9.89039489,15.14999047,14.14159302,13.50681897,14.45898005,4843.909091,1985,17662,1
adult;business,2004,30,12.84473843,10.69096317,16.9988094,15.23450718,14.45898005,17.54364678,3861.9,523,8970,6
adult;business,2005,36,13.40250898,9.097017544,16.99012135,15.38898716,12.63128222,17.61891908,3730.305556,521,10936,9
adult;business,2006,53,12.53089002,8.610114943,16.30758696,14.49740924,10.86419502,17.61891908,3733.886792,493,17822,13
adult;business,2007,57,12.74395639,8.610114943,16.30229586,14.4751479,10.86419502,17.61891908,4591.824561,493,17822,12
adult;business,2008,70,12.67769457,8.610114943,16.25446742,14.68914405,10.86419502,18.35118386,5230.014286,493,18241,14
adult;business,2009,60,12.63791399,8.610114943,16.25446742,14.56000839,10.86419502,18.31540923,6194.35,670,18273,20
adult;business,2010,89,12.7638689,8.610114943,17.23521796,14.5014454,10.86419502,18.31540923,6027.775281,670,17478,26
adult;business,2011,113,12.45470612,8.610114943,16.46407148,14.52161472,10.86419502,17.65640897,6666.787611,670,17298,39
adult;business,2012,103,12.51981802,8.610114943,16.46407148,14.44616467,10.86419502,17.65640897,6374.203883,670,17686,23
adult;business,2013,130,12.85172139,9.033457485,17.91965973,14.92517178,12.04049591,19.71903059,7322.130769,673,22523,42
adult;business,2014,147,13.07970794,8.887637681,18.56811463,15.14330842,12.04049591,19.71903059,6952.537415,274,20253,49
adult;business,2015,168,13.21357395,8.152358277,18.66727536,15.19861434,10.04757931,19.71903059,7065.285714,274,29827,52
adult;business,2016,147,13.11961737,8.152358277,18.56811463,14.8864086,10.04757931,19.71903059,7059.07483,539,33783,41
adult;business,2017,133,13.16675568,8.152358277,16.71569617,15.0730746,10.04757931,19.04980404,7647.947368,868,41015,37
adult;business,2018,99,12.99707087,5.854041642,18.66727536,14.94105955,9.12067884,19.04980404,10066.30303,868,42416,28
